State,Year,StateMW2022,FedMW2022
Alaska,1968,17.65,9.67
California,1968,13.87,9.67
Arizona,1968,3.94,9.67
Massachusetts,1968,13.45,9.67
New York,1968,13.45,9.67
Washington,1968,13.45,9.67
Connecticut,1968,11.77,9.67
Maine,1968,11.77,9.67
New Hampshire,1968,11.77,9.67
New Jersey,1968,11.77,9.67
Rhode Island,1968,11.77,9.67
Vermont,1968,11.77,9.67
Delaware,1968,10.51,9.67
District of Columbia,1968,10.51,9.67
Hawaii,1968,10.51,9.67
Michigan,1968,10.51,9.67
Nevada,1968,10.51,9.67
Oregon,1968,10.51,9.67
Wisconsin,1968,10.51,9.67
Wyoming,1968,10.09,9.67
Idaho,1968,9.67,9.67
Indiana,1968,9.67,9.67
New Mexico,1968,9.67,9.67
Pennsylvania,1968,9.67,9.67
Colorado,1968,8.40,9.67
Maryland,1968,8.40,9.67
Nebraska,1968,8.40,9.67
North Carolina,1968,8.40,9.67
North Dakota,1968,8.40,9.67
Oklahoma,1968,8.40,9.67
Utah,1968,8.40,9.67
West Virginia,1968,8.40,9.67
Ohio,1968,6.30,9.67
Minnesota,1968,5.88,9.67
Kentucky,1968,5.46,9.67
Puerto Rico,1968,3.62,9.67
South Dakota,1968,3.57,9.67
Arkansas,1968,1.31,9.67
Alabama,1968,0.00,9.67
Florida,1968,0.00,9.67
Georgia,1968,0.00,9.67
Illinois,1968,0.00,9.67
Iowa,1968,0.00,9.67
Kansas,1968,0.00,9.67
Louisiana,1968,0.00,9.67
Mississippi,1968,0.00,9.67
Missouri,1968,0.00,9.67
Montana,1968,0.00,9.67
South Carolina,1968,0.00,9.67
Tennessee,1968,0.00,9.67
Texas,1968,0.00,9.67
Virginia,1968,0.00,9.67
Alaska,1969,16.74,9.17
Arizona,1969,3.73,9.17
California,1969,13.15,9.17
Massachusetts,1969,12.76,9.17
New York,1969,12.76,9.17
Washington,1969,12.76,9.17
Connecticut,1969,11.16,9.17
Maine,1969,11.16,9.17
New Hampshire,1969,11.16,9.17
New Jersey,1969,11.16,9.17
Rhode Island,1969,11.16,9.17
Vermont,1969,11.16,9.17
Delaware,1969,9.96,9.17
District of Columbia,1969,9.96,9.17
Hawaii,1969,9.96,9.17
Michigan,1969,9.96,9.17
Nevada,1969,9.96,9.17
Oregon,1969,9.96,9.17
Wisconsin,1969,9.96,9.17
Wyoming,1969,9.57,9.17
Idaho,1969,9.17,9.17
Indiana,1969,9.17,9.17
New Mexico,1969,9.17,9.17
Pennsylvania,1969,9.17,9.17
Colorado,1969,7.97,9.17
Maryland,1969,7.97,9.17
Nebraska,1969,7.97,9.17
North Carolina,1969,7.97,9.17
North Dakota,1969,7.97,9.17
Oklahoma,1969,7.97,9.17
Utah,1969,7.97,9.17
West Virginia,1969,7.97,9.17
Ohio,1969,5.98,9.17
Minnesota,1969,5.58,9.17
Kentucky,1969,5.18,9.17
Puerto Rico,1969,3.43,9.17
South Dakota,1969,3.39,9.17
Arkansas,1969,1.24,9.17
Alabama,1969,0.00,9.17
Florida,1969,0.00,9.17
Georgia,1969,0.00,9.17
Illinois,1969,0.00,9.17
Iowa,1969,0.00,9.17
Kansas,1969,0.00,9.17
Louisiana,1969,0.00,9.17
Mississippi,1969,0.00,9.17
Missouri,1969,0.00,9.17
Montana,1969,0.00,9.17
South Carolina,1969,0.00,9.17
Tennessee,1969,0.00,9.17
Texas,1969,0.00,9.17
Virginia,1969,0.00,9.17
Alaska,1970,15.83,9.81
California,1970,12.44,9.81
Arizona,1970,3.53,9.81
Connecticut,1970,12.07,9.81
District of Columbia,1970,12.07,9.81
Hawaii,1970,12.07,9.81
Maine,1970,12.07,9.81
Massachusetts,1970,12.07,9.81
New York,1970,12.07,9.81
Rhode Island,1970,12.07,9.81
Vermont,1970,12.07,9.81
Washington,1970,12.07,9.81
New Jersey,1970,11.31,9.81
New Hampshire,1970,10.94,9.81
Maryland,1970,9.81,9.81
Nevada,1970,9.81,9.81
New Mexico,1970,9.81,9.81
Pennsylvania,1970,9.81,9.81
Wisconsin,1970,9.81,9.81
Wyoming,1970,9.81,9.81
Delaware,1970,9.42,9.81
Idaho,1970,9.42,9.81
Indiana,1970,9.42,9.81
Michigan,1970,9.42,9.81
North Carolina,1970,9.42,9.81
Oregon,1970,9.42,9.81
Arkansas,1970,8.29,9.81
Colorado,1970,7.54,9.81
Nebraska,1970,7.54,9.81
North Dakota,1970,7.54,9.81
Oklahoma,1970,7.54,9.81
South Dakota,1970,7.54,9.81
Utah,1970,7.54,9.81
West Virginia,1970,7.54,9.81
Ohio,1970,5.66,9.81
Minnesota,1970,5.28,9.81
Kentucky,1970,4.90,9.81
Puerto Rico,1970,3.25,9.81
Alabama,1970,0.00,9.81
Florida,1970,0.00,9.81
Georgia,1970,0.00,9.81
Illinois,1970,0.00,9.81
Iowa,1970,0.00,9.81
Kansas,1970,0.00,9.81
Louisiana,1970,0.00,9.81
Mississippi,1970,0.00,9.81
Missouri,1970,0.00,9.81
Montana,1970,0.00,9.81
South Carolina,1970,0.00,9.81
Tennessee,1970,0.00,9.81
Texas,1970,0.00,9.81
Virginia,1970,0.00,9.81
Alaska,1971,15.17,9.39
Arizona,1971,3.38,9.39
California,1971,11.92,9.39
Connecticut,1971,11.56,9.39
District of Columbia,1971,11.56,9.39
Hawaii,1971,11.56,9.39
Maine,1971,11.56,9.39
Massachusetts,1971,11.56,9.39
New York,1971,11.56,9.39
Rhode Island,1971,11.56,9.39
Vermont,1971,11.56,9.39
Washington,1971,11.56,9.39
New Jersey,1971,10.83,9.39
New Hampshire,1971,10.47,9.39
Maryland,1971,9.39,9.39
Nevada,1971,9.39,9.39
New Mexico,1971,9.39,9.39
Pennsylvania,1971,9.39,9.39
Wisconsin,1971,9.39,9.39
Wyoming,1971,9.39,9.39
Delaware,1971,9.03,9.39
Idaho,1971,9.03,9.39
Indiana,1971,9.03,9.39
Michigan,1971,9.03,9.39
North Carolina,1971,9.03,9.39
Oregon,1971,9.03,9.39
Arkansas,1971,7.95,9.39
Colorado,1971,7.23,9.39
Nebraska,1971,7.23,9.39
North Dakota,1971,7.23,9.39
Oklahoma,1971,7.23,9.39
South Dakota,1971,7.23,9.39
Utah,1971,7.23,9.39
West Virginia,1971,7.23,9.39
Ohio,1971,5.42,9.39
Minnesota,1971,5.06,9.39
Kentucky,1971,4.69,9.39
Puerto Rico,1971,3.11,9.39
Alabama,1971,0.00,9.39
Florida,1971,0.00,9.39
Georgia,1971,0.00,9.39
Illinois,1971,0.00,9.39
Iowa,1971,0.00,9.39
Kansas,1971,0.00,9.39
Louisiana,1971,0.00,9.39
Mississippi,1971,0.00,9.39
Missouri,1971,0.00,9.39
Montana,1971,0.00,9.39
South Carolina,1971,0.00,9.39
Tennessee,1971,0.00,9.39
Texas,1971,0.00,9.39
Virginia,1971,0.00,9.39
Alaska,1972,14.69,11.20
